bbl,bin,address,zipcode,bldgtype,ess,year,gfa,numbldgs,numfloors,eui,energy,wui,ghg,primary_type,other_types_dict,has_datacenter,electricity,bedrooms,natural_gas,steam,worker_dens,res_units,diesel,fuel_4,fuel_2,fuel_5_6
4012800026,4029675,3550 81 ST,11372,Multifamily Housing,,1951,57228,1,6,126.9,7261697.2,92.28,5.12,Multifamily Housing,,0,810671.6,80,3972600.1,,,,,,138000,
1006977501,1087496,545 West 25th St,10001,Office,43,2005,78080,1,20,173.5,13548107.6,14.43,5.43,Office,,0,3563401.7,,2027710.2,,0.15369,,,,,
4050240001,4113662,38-25 Parsons Blvd,11354,Multifamily Housing,56,1962,103710,1,6,125,12964723.1,,5.8,Multifamily Housing,,0,1876291.2,145.19,3656824.3,,,,,3201488.1,,
1020660009,1081826,451 West 151st St,10031,DCAS - Police Station,,1920,32764,2,2,213.6,6997799.3,,7.14,,,0,1554234.2,,1809700.1,,,,,,0,
4031490019,4074416,7510 Yellowstone Blvd,11374,Other,,1956,57600,1,6,105.3,6064806,39.4,4.01,Other,,0,936370.4,,2784924.1,,,,,,,
1008950034,1019481,145 East 39th Street,10016,Hotel,56,1915,82336,1,19,287.4,23661195.8,,10.26,Hotel,,0,4536595.2,,8329100.4,,,,,,,
4015040001,4037122,40-05 Hampton Street,11373,Multifamily Housing,6,1939,57000,1,6,239.9,13675498.6,,9.78,Multifamily Housing,,0,1811005.9,180,7610200,,,,,,,
3041560006,3093208,95 Fountain Ave,11208,Multifamily Housing,14,1927,27230,1,4,156.3,4256790.5,,6.75,Multifamily Housing,,0,428592.2,48,2774599.9,,,,,,,
1009947504,1022573,1460 Broadway,10018,Office,61,1953,194479,1,16,138.7,26982996.5,,4.53,Office,,0,8412099.1,,,2525513.9,1.41403,,,,,
3020310016,3255886,1 Carlton Ave,11205,Other,,1957,71071,2,6,63.1,4483211.9,3.08,2.31,Other,,0,869969,,1698500,,,,,,,
3055380007,3133050,1640 63rd St,11204,Other,,1925,81000,1,3,63.4,5137000.8,,1.96,Other,,0,1617220.5,,411800,,,,,,,
4049800011,4112492,136-18 39th Ave,11354,Adult Education,,1922,85000,1,12,206.3,17538424.6,,6.25,,,0,5866814.1,,642730.3,,,,,,,
3013880032,,1188 LINCOLN PL,11213,Multifamily Housing,56,1920,34250,1,4,106.7,3655210.7,,4.37,Multifamily Housing,,0,418546.2,52,2148655.3,,,,,,,
1014990014,1046915,21 East 87th Street,10128,Multifamily Housing,35,1927,205195,1,13,103.7,21277384.6,,3.81,Multifamily Housing,,0,4565083.2,108,7454151.5,,,,,,,
1008207504,1087504,16 West 19th Street,10011,Multifamily Housing,6,1906,58594,1,14,164.4,9635427.6,33.69,5.59,Multifamily Housing,,0,2633740.7,57,1971496.8,,,,,,,
3012270033,3031003,762 St Marks Ave,11216,Multifamily Housing,53,1900,35901,1,6,109.9,3944048.7,,4.52,Multifamily Housing,,0,437058.1,50.26,2359400.3,,,,,,,
1004610006,1090311,200 East 6th Street,10003,Other - Education,,2014,48463,1,13,182.1,8826694.3,,6.5,,,0,2160875.7,,2484133.4,,,,,,,
1008500075,1016266,935 BROADWAY,10010,Office,1,1910,57300,1,6,282.2,16169548.5,,8.7,Office,,0,5523868.2,,579709.7,,0.52356,,,,,
1017720064,1054453,116-120 E 124th Street,10035,Office,10,1920,32573,1,5,256.1,8343207,,8.19,Office,,0,2606718.8,,869343.4,,2.30006,,,,,
2025320043,2003542,1307 Merriam Ave,10452,Multifamily Housing,100,1925,81837,1,6,78.1,6390166.9,,5.39,Multifamily Housing,,0,,237,,,,,,,5946419.9,
3022517502,3389461,37 THROOP AVE,11206,Multifamily Housing,,2006,26828,1,10,142.6,3824874.7,,5.36,Multifamily Housing,,0,867990.5,60,1322099.9,,,,,,,
1014280013,1043991,225 East 73rd Street,10021,Multifamily Housing,74,1932,89516,1,13,104.5,9357604.8,,5.29,Multifamily Housing,,0,1552199.4,132,247139.4,,,,,,4432559.8,
4134080039,4814609,147-40 183rd Street,11413,Non-Refrigerated Warehouse,48,1982,48795,,,56,2732637.9,,1.7,Non-Refrigerated Warehouse,,0,978673.6,,,,,,,,,
4032920028,4078800,110-21 73 Rd,11375,Multifamily Housing,94,1937,116818,1,6,85.7,10009294.7,,3.52,Multifamily Housing,,0,1010720.7,163.55,6134899.8,,,,,,,
1005010028,1007714,101 Wooster Street,10012,Multifamily Housing,,1900,30500,1,7,90.6,2764421.2,66.91,2.67,Multifamily Housing,,0,944648.9,18,28180,,,,,,,
2031240001,2013159,2105 - 2115 Honeywell Avenue,10460,Multifamily Housing,61,1979,181093,2,5,133,24090705.6,,5.06,Multifamily Housing,,0,4838382,420,9552917.5,,,,,,,
3013057501,"3396883;3823304",958 Nostrand Ave.,11225,Multifamily Housing,66,2010,112998,1,7,112.9,12755932.4,,3.72,Multifamily Housing,"{'Multifamily Housing': 103788.0, 'Retail Store': 9210.0}",0,3734761.2,136,1948700,,,,,,,
1004100048,1075676,107 Rivington Street,10002,Hotel,10,2004,64000,1,20,311.9,19963945.4,104.76,10.93,Hotel,,0,5070973.2,,5079721.4,,,,,,,
1006427502,1085734,99 Jane Street,10014,Multifamily Housing,53,1997,161375,1,11,125.5,20254916.2,37.45,4.63,Multifamily Housing,,0,4488156.3,225.92,6903869.2,,,,,,,
1021700348,1064092,72 Wadsworth Terrace,10040,Multifamily Housing,95,1927,33490,1,6,66.1,2212549.3,,2.18,Multifamily Housing,,0,696027.2,46.89,266030,,,,,,,
4059000075,4443744,23-20 Bell Boulevard ,11360,Multifamily Housing,61,1963,176942,2,6,115.4,20412306.5,40.31,4.55,Multifamily Housing,,0,3185211.1,248,10082600.3,,,,,,,
1035730025,2021926,604 Castle Hill Ave,10473,Retail Store,,1900,70000,,,294,20580727.7,54.11,10.47,Retail Store,,0,5370628,,5229086.6,,,,,,,
1007860018,1014439,247 west 36th st,10018,Restaurant,,1920,25060,1,7,128.7,3225359,,4.14,Restaurant,,0,1031136,,308197,,,,,,,
3022647513,3378374,282 WALLABOUT ST,11206,Multifamily Housing,98,2003,51200,2,7,53.1,2719235.4,,2.14,Multifamily Housing,,0,504614.4,45,1261600.1,,,,,,,
2023687501,2114611,488 East 164th Street,10456,Multifamily Housing,60,2003,120000,1,7,108.6,13031369.2,80.47,4.29,Multifamily Housing,,0,2215090.9,145,6167657.1,,,,,,,
1008660003,1017176,391-395 Fifth Avenue,10016,Office,22,1910,35600,1,8,257.4,9164500.2,,9.5,Office,,0,2182260.2,,,2311309.5,3.53933,,,,,
1010180006,1024737,235 West 46th Street,10036,Hotel,20,1961,215879,1,18,240.5,51921892.3,,9.35,Hotel,,0,11434390.8,,1147519.3,14890566.4,,,,,,
3048040001,3107038,555 Kingston Ave,11203,Multifamily Housing,96,1927,32528,1,4,65.1,2118717.6,,1.96,Multifamily Housing,,0,751778,45.54,,,,,,,,
1005050001,1007817,150 Varick Street,10013,Distribution Center,14,1926,213980,1,10,196.6,42069556.7,9.67,6.5,Office,,0,12472269.5,,6315256.8,,1.87772,,,,,
1012620056,1034345,36 West 47th Street,10036,Office,8,1924,97780,1,16,293.5,28700871.7,,11.65,Office,,0,7830984.9,,,,0.94536,,,6320937.3,,
3051620052,3118805,349 East 19 Street,11226,Multifamily Housing,65,1937,51000,1,6,106.8,5448956.4,49.54,4.48,Multifamily Housing,,0,430909.7,55,3611899.8,,,,,,,
3054530018,3129134,1528 49 ST,11219,Multifamily Housing,70,1939,76700,1,6,103.5,7939881,45.77,3.99,Multifamily Housing,,0,1172843.7,71,3799599.9,,,,,,0,
2028100026,2007728,250 East 178th Street,10457,Multifamily Housing,59,1936,81667,1,6,100.1,8173658.9,36.65,5.36,Multifamily Housing,,0,926966.9,60,202287.9,,,,,,4692124.6,
1021340199,1063276,765 Riverside Drive,10032,Multifamily Housing,18,1932,127060,1,6,137.5,17465100.9,,5.86,Multifamily Housing,,0,1238061.3,100,12051185,,,,,,,
3044310001,3348861,12040 FLATLANDS AVE ,11207,Worship Facility,1,1997,90100,2,1.5,344.8,31062551.6,,13.5,Worship Facility,,0,5225939.6,,14566865.4,,,,,,,
1018840001,1056989,545 West 112th street,10027,Other - Education,,1950,59072,1,7,288.2,17024822.5,,9.28,,,0,4507934.3,,2601300.1,,,,,,137172,
4002940173,4003565,30-20 Review Ave.,11101,Non-Refrigerated Warehouse,60,1962,154100,1,1,68.7,10587550.5,3.26,2.48,Non-Refrigerated Warehouse,,0,2115840.6,,3827886.3,,,,,,,
4003990017,4538549,39-05 29th st.,11101,Hotel,29,2007,69159,1,13,224.6,15534234.9,45.57,7.55,Hotel,,0,4400312.2,,2819386.6,,,,,,,
4096660040,4206532,135-30 82ND DRIVE,11435,Multifamily Housing,93,1952,71465,1,6,91.1,6511556.1,49.86,4.01,Multifamily Housing,,0,485247,126,4616300.1,,,,,,0,
4014750001,4036262,87-10 37th Ave,11372,Multifamily Housing,26,1954,105000,1,6,126.3,13260187.9,,5.06,Multifamily Housing,,0,1952199.9,88,6890299.8,,,,,,,
1005310020,1008512,383 Lafayette Street,10003,Office,76,2016,67160,1,4,159.9,10739230.8,,5.21,Office,,0,2990731.8,,1816333.3,,5.95593,,,,,
4032370040,4077479,106-06 Queens Boulevard,11375,Other - Entertainment/Public Assembly,,1953,67780,1,4,114,7725886,63.77,4.06,,,0,2066932.4,,1885654.8,,,,,,,
1008410020,1016041,25 West 39th Street,10018,Office,81,1906,208528,1,18,110.9,23134792.1,,3.37,Office,,0,8210812.7,,127332.3,,2.3,,,,,
3021350007,3395350,34 South 9th Street,11249,Multifamily Housing,100,2013,34892,,,65.3,2278176.6,,1.97,Multifamily Housing,,0,813634.5,80,,,,,,,,
4033477501,,119-49 Union Turnpike,11375,Multifamily Housing,1,1971,89253,1,5,295.7,26390244.7,,12.4,Multifamily Housing,,0,4194204.5,125,14153300.1,,,,,,,
1007660053,1013817,214 West 17th Street,10011,Multifamily Housing,,1900,26400,1,6,97.1,2564225.7,29.38,3.65,Multifamily Housing,,0,382779.2,30,1176083.3,,,,,,,
3004340016,3395585,625 Union Street,11215,Hotel,78,2006,39780,1,8,148.7,5914340.7,198.69,4.5,Hotel,,0,2112264.6,,,,,,,,,
4002250006,4003185,36-01 47th Avenue,11101,Distribution Center,56,1931,30000,1,1,81,2429089,1.03,2.84,Distribution Center,,0,526822,,763790,,,,,,,
3012880038,3033818,1116 Carroll Street,11225,Multifamily Housing,61,1925,32350,1,4,129.3,4181657.5,8756.18,5.6,Multifamily Housing,,0,277672,86,2969100,,,,,,,
1014697501,1045891,401 E. 74th St.,10021,Multifamily Housing,,1959,299269,2,20,116.2,34778474.5,40.52,4.36,Multifamily Housing,,0,6857169.7,140,13644163.6,,,,,,,
1005770039,1009717,80 5th Avenue,10011,Office,60,1908,126756,1,17,159.3,20194942.3,,5.65,Office,,0,5987214,,641700,,2.30364,,,,2359800.1,
4066780001,4455316,147-21 72 AVE,11367,Multifamily Housing,43,1949,46100,54,2,120.5,5553821.1,,4.95,Multifamily Housing,,0,673287.7,80,3220234.1,,,,,,,
1006970042,1012385,508 W. 26th Street,10001,Office,75,1927,146416,1,9,122.3,17905944,14.71,3.74,Office,,0,6461669.4,,18960,,2.3,,,,,
4021500001,4432063,105-25 65th Ave,11375,Multifamily Housing,31,1950,273771,3,6,126.8,34710348,60.18,5.26,Multifamily Housing,"{'Multifamily Housing': 273771.0, 'Parking': 67.0}",0,4717703.8,324,18285579.1,,,,,,689999.9,
4021030001,"401671;426760;426749;426750;426751;426758;426759;426735",98-09 QUEENS BLVD,11374,Multifamily Housing,23,1938,246960,9,6,143.2,35359612.4,5629.12,6.4,Multifamily Housing,,0,2980507,384,24762686,,,,,,,
4021020001,"428921;429619;429620;429624;429623;429622;429621;401672;429618;429005",64-33 98Th St,11374,Multifamily Housing,80,1938,308700,11,6,100,30864322,5148.01,4.12,Multifamily Housing,,0,3344122.4,480,18338638,,,,,,,
2058363127,"2100878;2100871;2830468;2100875;2100870;2100873;2100877;2100874;2100876;2100872;2113340;2113341;2128928",5260 Fieldston Road Bronx,10471,K-12 School,47,1968,169660,12,2,139,23589508,,4.42,K-12 School,,0,6301609.1,,2576899.8,,,,,,731952,
4084010600,4456352,245-10 Grand Central Parkway,11426,Multifamily Housing,48,1966,279855,2,6,121,33860889.2,42.28,4.63,Multifamily Housing,,0,5110008.3,295,15857825.6,,,,,,,
4083730002,4456129,249-06 63 AVENUE ,11362,Multifamily Housing,11,1952,95056,56,2,166.6,15834980.1,,6.54,Multifamily Housing,,0,1924602.6,148,8487972.1,,,,,,,
1008290050,1080710,1170 Broadway,10001-7507,Hotel,83,1999,125000,4,12,274.7,34338066.2,86.1,9.2,Hotel,,0,8033914.4,,8245445.1,,,,,,,
4083370001,"4455901;4455914;4459795;4455920;4455924;4459792;4459803;4459822;4459823;4455936;4455938;4455948",249-04 57 Avenue,11362,Multifamily Housing,20,1953,156144,12,2,165.1,25774968,,6.47,Multifamily Housing,,0,3166408.4,318,13741309.1,,,,,,,
4083530001,"4456025;4456026;4456027;4456028;4456029;4456030;4456031;4456032;4456033;4456034;4456035;4456036;4456037;4456038;4456039;4456040;4456041;4456042;4456043;4456044;4456045;4456046;4456047;4456048;4456049;4456050;4456051;4456054;4456055;4456056;4456057;4456058;4456059;4456060;4456061;4456062;4456063;4459179;4459180;4459181;4459182;4459183;4459184;4459185;4459828;4459829;4459830;4459831;4459832;4459833;4459834;4459835;4459836;4456052;4456053;4456064;4456065;4456066;4456067;4456068;4456069;4456070;4456071;4456072;4456073;4456074;4456075;4456076;4456077;4456078;4456079;4456080;4456081;4456082;4456083;4456084;4459170;4459171;4459172;4459173;4459174;4459175;4459176;4459177;4459178",249-06 60th Avenue ,11362,Multifamily Housing,20,1953,146484,85,2,163.3,23913728.2,39.25,6.33,Multifamily Housing,,0,3183528.3,300,12136746.8,,,,,,,
4083740056,4456323,252-06 63 AVENUE ,11362,Multifamily Housing,19,1952,72016,43,2,168.3,12122344.1,,6.83,Multifamily Housing,,0,1210611.7,148,7234558.2,,,,,,,
4083050010,"4455900;4455849;4455850;4455851;4455852;4455853;4455854;4455855;4455856;4455857;4455858;4455859;4455894;4455895;4455896;4455897;4455898;4455899;4455860;4455861;4455862;4455863;4455864;4455865;4455866;4455867;4455868;4455869;4455870;4455871;4455873;4455874;4455875;4455876;4455877;4455878;4455879;4455880;4455881;4455882;4455883;4455884;4455885;4455886;4455887;4455888;4455889;4455890;4455891",245-01 62 Avenue,11362,Multifamily Housing,15,1951,86084,52,2,158.1,13613101.9,,6.13,Multifamily Housing,,0,1668614.1,120.52,7156444.3,,,,,,,
4083490036,"4456008;4456016;4455962;4456016; 4458866;4458884  ",252-08 58 Avenue,11362,Multifamily Housing,19,1953,151492,21,2,166.6,25233448.6,53.73,6.63,Multifamily Housing,,0,2929031.3,308,14010352.5,,,,,,,
4083060004,"4461477;4461479;4461480;4461481;4461482;4461483;4461484;4461485;4461486;4461487;4461488;4453957;4453958;4453959;4453960;4453961;4453962;4453963;4453964;4453966;4453967;4453968;4453969;4453970;4453971;4453972;4453978;4453979;4453980;4453982;4453983;4453984;4453985;4453986;4453987;4453987;461503;4461504;4461506;4461507;4461508;4461509;4461510;4461511;4461512;4461513;4461514;4461515;4453965;4453987;4461475;4461475;4461476",245-88 62 Avenue,11362,Multifamily Housing,22,1951,124200,66,2,141.1,17527025.2,43.53,5.53,Multifamily Housing,,0,2374008.5,184,8972762.8,,,,,,,
4082760010,"4455827;4455828;4455829;4455830;4455831;4455832;4455833;4455834;4455835;4455836;4455837;4455838;4455839;4455840;4455841;4455842;4455843;4455844;4455845;4455846;4455847;4455848;4455789;4455790;4455791;4455792;4455793;4455794;4455795;4455796;4455797;4455798;4455799;4455800;4455801;4455802;4455803;4455804;4455805;4455806;4455807;4455808;4455809;4455810;4455811;4455812;4455813;4455814;4455815;4455816;4455817;4455818;4455819;4455820;4455821;4455822;4455823;4455824;4455825;4455826",57-63 244th Street,11362,Multifamily Housing,19,1951,109562,61,2,154.2,16896553.9,,6.02,Multifamily Housing,,0,2279233.1,192,8615543.4,,,,,,,
4082760002,"4455746;4455729;4455730;4455731;4455732;4455733;4455734;4455735;4455736;4455737;4455738;4455739;4455740;4455741;4455742;4455743;4455744;4455745;4455781;4455782;4455783;4455784;4455785;4455786;4455787;4455788;4459763;4459764;4459765;4459766;4459767;4459768;4459791; 4455747;4455748;4455749;4455750;4455751;4455752;4455753;4455754;4459769;4459770;4459771;4459772;4459773;4459774;4459775;4459776;4459777;4459778;4459779;4459780;4459781;4459782;4459783;4459784;4459786;4459787;4459788;4459790;4455755;4455756;4455757;4455758;4455759;4455760;4455761;4455762;4455763;4455764;4455765;4455766;4455767;4455768;4455769;4455770;4455771;4455772;4455773;4455774;4455775;4455776;4455777;4455778;4455779;4455780;4459789",242-63 61 Avenue,11362,Multifamily Housing,19,1951,149406,88,2,157.7,23559839.6,62.28,6.05,Multifamily Housing,,0,3230916.5,268,11634153,,,,,,,
4082760030,"4440432;4461369;4440433;4461370;4440436;4461371;4461372;4461373;4440437;4461374;4440438;4461375;4440418;4461376;4440414;4461377;4461378;4461379;4461380;4461381;4440415;4461382;4440416;4461383;4440417;4461384;4440419;4461385;4440435;4461402;4461386;4461387;4440420;4461388;4440421;4461389;4440422;4461391;4440423;4461392;4440424;4461393;4440425;4461394;4440426;4461395;4440427;4461396;4440428;4461403;4440429;4461397;4461398;4461399;4440430;4461400;4440434;4461401",246-41 57th Drive,11362,Multifamily Housing,29,1951,103032,58,2,149.2,15373965.4,62.2,5.81,Multifamily Housing,,0,2066128.1,200,7812792.1,,,,,,,
1008280053,1015657,1155 Broadway,10001,Hotel,27,1994,50000,1,13,167.9,8395581.5,15.8,5.47,Hotel,,0,1976691.9,,1848519.4,,,,,,,
4082760020,"4440454;4461468;4440453;4461469;4461470;4461471;4461472;4461473;4440451;4461421;4461422; 4440456;4461427;4440458;4461428;4461429;4440459;4461430;4461431;4461432;4440460;4461435;4440461;4461436;4440462;4461437;4440463;4461438;4440464;4461439;4440465;4461440;4440467;4461441;4440468;4461442;4461443;4461444;4440469;4461446;4440470;44614474461423;4461424;4461425;4440450;4461409;4461410;4461411;4461412;4461413;4440452;4461426;4440474;4461448;4440475;4461449;4440476;4461450;4440484;4440477;4461451;4440486;4461452;4440487;4461453;4461455;4461456;4440479;4461457;4440480;4461458;4440481;4461459;4440489;4461419;4445164;4461420;4442885;4461414;4445163;4461415;4461416;4461417;4445303;4461418;4440482;4461460;4461461;4461462;4461463;4461464;4461465;4461466;4440483;4461467",56-23 244th Street,11362,Multifamily Housing,20,1951,176032,96,2,153.4,26995568.7,,6.02,Multifamily Housing,,0,3466502.6,309,14179888.4,,,,,,,
4105920150,"4434643;4434642;4434641;4434644",209-30 86 Drive,11427,Multifamily Housing,99,1952,152380,4,3,55,8386991.1,,1.64,Multifamily Housing,,0,2958975.2,216,,,,,,,,
3045900051,"3323070, 3323071, 3340603",828 Midwood Street,11203,Multifamily Housing,60,1953,316000,3,6,121.6,38411564.1,55.58,5.06,Multifamily Housing,,0,4842199.6,534,21967999.6,,,,,,276138,
4067910025,4440184,65-24 162nd Street,11365,Multifamily Housing,75,1966,291876,2,24,116,33859014.1,,3.38,Multifamily Housing,"{'Multifamily Housing': 291876.0, 'Parking': 0.0}",0,11357592.6,500,461514,,,,,,,
4067910001,4451568,65-94 162nd Street,11365,Multifamily Housing,44,1954,350000,16,6,143.8,50323017.7,62.9,5.7,Multifamily Housing,"{'Multifamily Housing': 350000.0, 'Parking': 0.0}",0,8629220.5,710,23780680.6,,,,,,,
1000650024,1001105,24 John Street,10038,Hotel,99,2012,50000,1,21,64.2,3212068.1,2.86,1.81,Hotel,,0,1022951.6,,,,,,,,,
4067890015,4451548,161-04 Harry Van Arsdale Jr. Ave.,11365,Multifamily Housing,22,1953,350000,20,6,167.6,58653777.4,62.63,6.58,Multifamily Housing,"{'Multifamily Housing': 350000.0, 'Parking': 0.0}",0,9100068,742,28828553.4,,,,,,,
1016940003,1083934,420-440 East 102 St.,10029,Multifamily Housing,31,1973,175885,2,13,131.9,23194794.8,0.19,4.3,Multifamily Housing,,0,6298040.1,200,4184631.3,,,,,,,
4021510101,"4432069;4432070;4432071;4432072",105-28 65th Avenue (4 Buildings),11375,Multifamily Housing,91,1953,160791,4,6,94.2,15151154.4,43.63,3.84,Multifamily Housing,,0,1993785.6,270,7880700,,,,,,407693.4,
4021540001,"4432094;4432095;4432096;4432097;4432098;4432099; 4834132",66-33 Yellowstone Boulevard,11375,Multifamily Housing,84,1953,251699,6,6,98.4,24771996.1,48.26,4.17,Multifamily Housing,,0,2509706.4,367,14916999.4,,,,,,592434,
4021550001,"4432101;4432102;4432103;4432104;4432105;4432106",67-07 Yellowstone Boulevard (6 Buildings),11375,Multifamily Housing,49,1953,228690,6,6,139.3,31856215.6,70.27,5.65,Multifamily Housing,,0,4439269.1,414,16498999.8,,,,,,542754,
4097150228,"4451808;4451809;4451810",139-09 84th Drive,11435,Multifamily Housing,82,1953,150903,3,6,103.2,15570475.3,54.2,4.8,Multifamily Housing,,0,1043140.8,253,10302999.7,,,,,,1186965.6,
1018457501,1076522,300 Cathedral Parkway,10026,Multifamily Housing,1,1989,153700,1,20,213.2,32772505.7,102.77,9.46,Multifamily Housing,,0,2094827.4,284,24022656.2,,,,,,,
5005930500,5106892,300 Howard Avenue,10301,College/University,,1935,176327,13,2,179.3,31622184.7,15.73,6.56,College/University,,0,8096607.9,,5234500,,,,,,2605163.9,
1021647501,,4260 Broadway,10033,Multifamily Housing,100,1969,114097,2,6,54.2,6180644.1,68.25,1.66,Multifamily Housing,,0,2127678.5,289,176148.5,,,,,,,
1010287502,1024898,224 West 57th St,10019,Office,90,1909,169416,1,11,141,23882428.7,21.46,4.32,Office,"{'Bank Branch': 4662.0, 'Office': 164754.0}",0,6551394.1,,1435754.7,1133475.1,2.60939,,,,,
4026110106,4059001,4710 Grand Ave,11385,Distribution Center,37,1950,200000,1,2,103.2,20637352.4,5.02,3.18,Distribution Center,,0,5234449.5,,3243162.2,,,,,,,
4050200023,4113595,38-20 Bowne Street,11354,Multifamily Housing,,1975,193975,1,12,176.6,34253114.1,95.74,4.77,,,0,10446179.3,,,,,,,,,
1011387503,1028838,155 West 66th Street,10023,Hotel,,1999,142088,1,10,244.6,34747928.9,18.59,8.83,Hotel,"{'Hotel': 120780.0, 'Other': 3054.0, 'Supermarket/Grocery': 13799.0, 'Non-Refrigerated Warehouse': 4455.0}",0,7622453.3,,1902140,7195772.2,,,,,,
3074560006,3204886,2626 Homecrest Avenue,11235,Multifamily Housing,72,1954,127500,1,6,115.4,14710217,61.23,4.39,Multifamily Housing,,0,2305455.4,185,6677050,,,,,,0,0
1012670041,1034517,650 Fifth Avenue,10019,Office,89,1979,387664,1,36,166,64364091.4,16.33,5.48,Office,"{'Retail Store': 75521.8, 'Office': 311592.6, 'Food Sales': 355.6}",0,16134500.4,,,10443801.1,4.83323,,,,,
1013137502,1087267,732 Lexington Avenue,10022,Office,95,1953,269470,1,17,135.8,36606863.1,17.81,4.21,Office,"{'Data Center': 1071.0, 'Office': 268399.0}",1,10215698.6,,,3431667.1,2.26528,,,,,
4041250001,4854710,15-30 Petracca Place,11357,Other - Education,,2005,92705,1,2,156.1,14471586.1,19.74,5.01,,,0,3554617,,2817938.3,,,,,,,
2030930002,2012632,730 E 178 ST,104575105,Other,,1977,82856,1,16,327.6,27143788,11759.54,9.52,Other,,0,7461053.3,,2392119.3,,,,,,,
1008670055,1017220,241 Madison Avenue,10006,Hotel,70,1930,135200,1,17,199.2,26935682.3,64.81,9.42,Hotel,,0,4541399.4,,,,,,,11569322.7,,
4058650040,"4440851;4440854;4440852;4440853;4440855;4440856;4440839;4440849;4440850",16-41 212 Street,11360,Multifamily Housing,32,1960,69000,10,2,142.9,9860091.9,,6.53,Multifamily Housing,,0,,96.6,8483120.3,,,,,,,
4012750045,4029568,3535 75 ST,11372,Multifamily Housing,91,1944,104500,1,6,100.4,10492830.6,76.9,4.49,Multifamily Housing,,0,256342.4,146.3,8413912.9,,,,,,,
4058630002,"4455173;4455160;4455164;4455154;4455153;4455155;4455165;4455169;4455168;4455172;4455143;4455145;4455149;4455150;4455133;4455135;4455174;4455159;4455146;4455136;4455137;4455167;4455152;4455138;4455131;4455166;4455171;4455132;4455157;4455156",13-02 212 Street,11360,Multifamily Housing,39,1950,80740,44,2,136.4,11009956.5,,6.21,Multifamily Housing,,0,,113.04,9442347.4,,,,,,,
4058630110,"4440851;4440854;4440852;4440853;4440855;4440856;4440839;4440849;4440850",C/O B.L. Management,11358,Multifamily Housing,,1950,69000,48,2,201,13866249,,6.97,Multifamily Housing,,0,2817056.4,0,4346326.9,,,,,,,
